kernel_type,video-X-deadlines_met,video-write-deadlines_met,video-read-deadlines_met,video-compile-desired_cpu,video-compile-deadlines_met,X-burn-desired_cpu,X-burn-deadlines_met,X-compile-desired_cpu,X-compile-deadlines_met,gaming-burn-desired_cpu,gaming-compile-desired_cpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.10.0-pf2''',100,100,99.9,100,100,87.1,83,77.4,72.3,96.6,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.12-97-tkg-cfs''',100,100,100,99.9,98.9,80.1,76.4,71.8,65.6,98.4,93.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.12-97-tkg-MuQSS''',100,100,100,100,100,100,100,99,98,100,98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.13-1-clear''',100,100,100,100,100,80.3,76,73.7,70.3,97.8,95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.13-98-tkg-bmq''',100,100,100,100,100,72.4,65.8,72.3,63.4,80.2,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.13-98-tkg-pds''',100,100,100,100,99.9,69.8,61.6,40.8,34.8,80.5,91.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.13-lqx1-1-lqx''',100,100,100,100,100,96.5,94.8,88.5,87.1,93.8,91.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.13-xanmod2-2''',100,100,100,100,100,79,74.4,81.6,78,96.6,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.14-1-ck''',100,99.5,99.3,100,99.8,94.4,93.2,98.7,98.3,97.4,95.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.14-arch1-1''',100,99.8,100,100,100,97.4,94.5,92.6,90.9,98.1,97.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.14-zen1-1-zen''',100,99.6,100,100,100,96.8,94.8,90.8,87.5,98.7,96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.1-rt20-1-rt''',99.2,99.9,100,100,100,82,77.1,86.1,82.4,96,91.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
