kernel_type,audio-X-maximum-latency,audio-write-average_latency,audio-write-latency-deviation,audio-write-maximum-latency,audio-read-maximum-latency,audio-compile-latency-deviation,audio-compile-maximum-latency,video-none-average_latency,video-none-latency-deviation,video-none-maximum-latency,video-X-average_latency,video-X-latency-deviation,video-X-maximum-latency,video-burn-maximum-latency,video-write-average_latency,video-write-latency-deviation,video-write-maximum-latency,video-read-latency-deviation,video-read-maximum-latency,video-compile-average_latency,video-compile-latency-deviation,video-compile-maximum-latency,X-none-maximum-latency,X-burn-average_latency,X-burn-latency-deviation,X-burn-maximum-latency,X-write-maximum-latency,X-read-maximum-latency,X-compile-average_latency,X-compile-latency-deviation,X-compile-maximum-latency,gaming-burn-average_latency,gaming-burn-latency-deviation,gaming-burn-maximum-latency,gaming-compile-average_latency,gaming-compile-latency-deviation,gaming-compile-maximum-latency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.10.0-pf2''',0.2,0.1,0.1,0.3,0.2,0.1,1.1,0.2,0.2,0.2,0.1,0.1,0.2,0.8,0.1,0.1,0.3,0.6,16.7,0,0.1,2.8,0.2,1.1,4.5,32,0.2,0.2,1.8,5.9,30,3.6,8.7,32.1,4.5,11.3,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.12-97-tkg-cfs''',0.2,0.1,0.1,0.3,0.2,0.4,8,0.1,0.1,0.2,0.1,0.1,0.2,0,0.1,0.1,0.3,0,0.2,0.3,2.3,39.7,0.1,1.2,4.5,22,0.1,0.1,3,9.3,54,1.6,5.7,26.5,7.4,14.9,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.12-97-tkg-MuQSS''',0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.8,0,1,0,0,0,0,0,0,0,0,0,0.1,0.7,10,0,0,0,1.9,4.5,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.13-1-clear''',0.2,0.1,0.1,0.8,0.1,0,1.1,0.1,0.1,0.7,0.1,0.1,0.2,0,0.1,0.1,0.6,0.1,0.2,0,0.1,1.4,0.1,1.3,4.9,29,0.1,0.1,1.4,5.3,31,2.2,6.5,32.2,4.6,12.3,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.13-98-tkg-bmq''',0.1,0.1,0.1,0.2,0.2,0,0,0.1,0.1,0.2,0.1,0.1,0.3,0,0.1,0.1,0.3,0.1,0.2,0,0,0,0.1,2.3,6.3,27,0.1,0.1,2.7,6.9,26,24.6,24.9,37.3,4.5,13.2,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.13-98-tkg-pds''',0.2,0.1,0.1,0.3,0.1,0,0,0.1,0.1,0.2,0.1,0.1,0.2,0,0.1,0.1,0.5,0.1,0.3,0,0.4,16.7,0.1,2.7,7.1,26,0.1,0.1,9.4,24.6,106,24.3,24.5,26.4,9.5,16.2,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.13-lqx1-1-lqx''',0,0,0,0,0,0.1,1.5,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0.2,8,0,0.5,2.9,20,0,0,0.8,5.2,52,6.6,12.7,26.4,9.7,22.3,109.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.13-xanmod2-2''',0.1,0,0.1,0.1,0.2,0.1,1.5,0.1,0.1,0.1,0.1,0.1,0.2,0,0,0.1,0.1,0.1,0.1,0,0.1,2.4,0.2,1.2,4.6,27,0.2,0.1,1.4,5.6,33,3.5,8.6,36.2,5.1,12.2,89.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.14-1-ck''',0,0.1,0.1,0.1,0.1,0.2,3.8,0,0,0.3,0,0,0,0,0.1,1.2,16.7,1.4,16.7,0,0.7,19.8,0,0.3,1.6,14,0.1,0,0.1,1.6,22,2.6,5.4,16.9,4.2,13,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.14-arch1-1''',0.2,0.2,0.2,0.7,0.2,0.3,3.6,0.1,0.1,0.2,0.1,0.1,0.2,0.7,0.2,0.7,16.9,0,0.2,0,0.1,2.4,0.2,0.2,1.4,15,0.1,0,0.3,1.7,15,2,5,21.8,2.7,8,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.14-zen1-1-zen''',0.2,0.1,0.1,0.3,0.2,0.2,2.9,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.2,1.1,16.9,0.1,0.2,0,0.1,2.4,0.2,0.2,1.2,10,0.1,0.1,1.1,5.5,44,1.3,3.7,18.3,3.3,7.6,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'''5.9.1-rt20-1-rt''',0.2,0.1,0.1,0.3,0.2,0,0,0.2,0.2,0.3,0.2,1.5,16.9,0,0.1,0.6,16.8,0,0.1,0,0.1,2.6,0.1,1.5,5.5,32,0.1,0.1,1.6,6.4,48,4.2,10.5,50.2,9.5,17.1,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kernel_type,audio-none-average_latency,audio-none-latency-deviation,audio-none-maximum-latency,audio-video-average_latency,audio-video-latency-deviation,audio-video-maximum-latency,audio-X-average_latency,audio-X-latency-deviation,audio-X-maximum-latency,audio-burn-average_latency,audio-burn-latency-deviation,audio-burn-maximum-latency,audio-write-average_latency,audio-write-latency-deviation,audio-write-maximum-latency,audio-read-average_latency,audio-read-latency-deviation,audio-read-maximum-latency,audio-compile-average_latency,audio-compile-latency-deviation,audio-compile-maximum-latency,video-none-average_latency,video-none-latency-deviation,video-none-maximum-latency,video-X-average_latency,video-X-latency-deviation,video-X-maximum-latency,video-burn-average_latency,video-burn-latency-deviation,video-burn-maximum-latency,video-write-average_latency,video-write-latency-deviation,video-write-maximum-latency,video-read-average_latency,video-read-latency-deviation,video-read-maximum-latency,video-compile-average_latency,video-compile-latency-deviation,video-compile-maximum-latency,X-none-average_latency,X-none-latency-deviation,X-none-maximum-latency,X-video-average_latency,X-video-latency-deviation,X-video-maximum-latency,X-burn-average_latency,X-burn-latency-deviation,X-burn-maximum-latency,X-write-average_latency,X-write-latency-deviation,X-write-maximum-latency,X-read-average_latency,X-read-latency-deviation,X-read-maximum-latency,X-compile-average_latency,X-compile-latency-deviation,X-compile-maximum-latency,gaming-none-average_latency,gaming-none-latency-deviation,gaming-none-maximum-latency,gaming-video-average_latency,gaming-video-latency-deviation,gaming-video-maximum-latency,gaming-X-average_latency,gaming-X-latency-deviation,gaming-X-maximum-latency,gaming-burn-average_latency,gaming-burn-latency-deviation,gaming-burn-maximum-latency,gaming-write-average_latency,gaming-write-latency-deviation,gaming-write-maximum-latency,gaming-read-average_latency,gaming-read-latency-deviation,gaming-read-maximum-latency,gaming-compile-average_latency,gaming-compile-latency-deviation,gaming-compile-maximum-latency
,,27,29,30,34,36,37,41,43,44,48,50,51,55,57,58,62,64,65,69,71,72,101,103,104,108,110,111,115,117,118,122,124,125,129,131,132,136,138,139,168,170,171,175,177,178,182,184,185,189,191,192,196,198,199,203,205,206,232,234,235,238,240,241,244,246,247,250,252,253,256,258,259,262,264,265,268,270,271
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
cherry picked columns – value greater than 1ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
column name,video-write-maximum-latency,X-compile-average_latency,X-compile-latency-deviation,X-compile-maximum-latency,gaming-compile-average_latency,gaming-compile-latency-deviation,gaming-compile-maximum-latency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line # from trimmed,125,203,205,206,268,270,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line # from extracted,33,55,56,57,76,77,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
