kernel_type,audio-X-maximum_latency-inverse,audio-write-average_latency-inverse,audio-write-latency_deviation-inverse,audio-write-maximum_latency-inverse,audio-read-maximum_latency-inverse,audio-compile-latency_deviation-inverse,audio-compile-maximum_latency-inverse,video-none-average_latency-inverse,video-none-latency_deviation-inverse,video-none-maximum_latency-inverse,video-X-average_latency-inverse,video-X-latency_deviation-inverse,video-X-maximum_latency-inverse,video-burn-maximum_latency-inverse,video-write-average_latency-inverse,video-write-latency_deviation-inverse,video-write-maximum_latency-inverse,video-read-latency_deviation-inverse,video-read-maximum_latency-inverse,video-compile-average_latency-inverse,video-compile-latency_deviation-inverse,video-compile-maximum_latency-inverse,X-none-maximum_latency-inverse,X-burn-average_latency-inverse,X-burn-latency_deviation-inverse,X-burn-maximum_latency-inverse,X-write-maximum_latency-inverse,X-read-maximum_latency-inverse,X-compile-average_latency-inverse,X-compile-latency_deviation-inverse,X-compile-maximum_latency-inverse,gaming-burn-average_latency-inverse,gaming-burn-latency_deviation,gaming-burn-maximum_latency-inverse,gaming-compile-average_latency-inverse,gaming-compile-latency_deviation-inverse,gaming-compile-maximum_latency-inverse
'''5.10.0-pf2''',5000,10000,10000,3333.33333333333,5000,10000,909.090909090909,5000,5000,5000,10000,10000,5000,1250,10000,10000,3333.33333333333,1666.66666666667,59.8802395209581,0,10000,357.142857142857,5000,909.090909090909,222.222222222222,31.25,5000,5000,555.555555555556,169.491525423729,33.3333333333333,277.777777777778,114.942528735632,31.1526479750779,222.222222222222,88.4955752212389,18.8323917137476
'''5.9.12-97-tkg-cfs''',5000,10000,10000,3333.33333333333,5000,2500,125,10000,10000,5000,10000,10000,5000,0,10000,10000,3333.33333333333,0,5000,3333.33333333333,434.782608695652,25.1889168765743,10000,833.333333333333,222.222222222222,45.4545454545455,10000,10000,333.333333333333,107.52688172043,18.5185185185185,625,175.438596491228,37.7358490566038,135.135135135135,67.1140939597315,17.5131348511384
'''5.9.12-97-tkg-MuQSS''',0,0,0,0,10000,0,0,0,0,10000,0,0,0,0,0,0,1250,0,1000,0,0,0,0,0,0,0,0,0,10000,1428.57142857143,100,0,0,0,526.315789473684,222.222222222222,49.0196078431373
'''5.9.13-1-clear''',5000,10000,10000,1250,10000,0,909.090909090909,10000,10000,1428.57142857143,10000,10000,5000,0,10000,10000,1666.66666666667,10000,5000,0,10000,714.285714285714,10000,769.230769230769,204.081632653061,34.4827586206897,10000,10000,714.285714285714,188.679245283019,32.258064516129,454.545454545455,153.846153846154,31.055900621118,217.391304347826,81.3008130081301,10.8342361863489
'''5.9.13-98-tkg-bmq''',10000,10000,10000,5000,5000,0,0,10000,10000,5000,10000,10000,3333.33333333333,0,10000,10000,3333.33333333333,10000,5000,0,0,0,10000,434.782608695652,158.730158730159,37.037037037037,10000,10000,370.37037037037,144.927536231884,38.4615384615385,40.650406504065,40.1606425702811,26.8096514745308,222.222222222222,75.7575757575758,23.6406619385343
'''5.9.13-98-tkg-pds''',5000,10000,10000,3333.33333333333,10000,0,0,10000,10000,5000,10000,10000,5000,0,10000,10000,2000,10000,3333.33333333333,0,2500,59.8802395209581,10000,370.37037037037,140.845070422535,38.4615384615385,10000,10000,106.382978723404,40.650406504065,9.43396226415094,41.1522633744856,40.8163265306122,37.8787878787879,105.263157894737,61.7283950617284,28.2485875706215
'''5.9.13-lqx1-1-lqx''',0,0,0,0,0,10000,666.666666666667,0,0,0,0,0,0,5000,0,0,10000,0,0,0,5000,125,0,2000,344.827586206897,50,0,0,1250,192.307692307692,19.2307692307692,151.515151515152,78.740157480315,37.8787878787879,103.092783505155,44.8430493273543,9.11577028258888
'''5.9.13-xanmod2-2''',10000,0,10000,10000,5000,10000,666.666666666667,10000,10000,10000,10000,10000,5000,0,0,10000,10000,10000,10000,0,10000,416.666666666667,5000,833.333333333333,217.391304347826,37.037037037037,5000,10000,714.285714285714,178.571428571429,30.3030303030303,285.714285714286,116.279069767442,27.6243093922652,196.078431372549,81.9672131147541,11.2233445566779
'''5.9.14-1-ck''',0,10000,10000,10000,10000,5000,263.157894736842,0,0,3333.33333333333,0,0,0,0,10000,833.333333333333,59.8802395209581,714.285714285714,59.8802395209581,0,1428.57142857143,50.5050505050505,0,3333.33333333333,625,71.4285714285714,10000,0,10000,625,45.4545454545455,384.615384615385,185.185185185185,59.1715976331361,238.095238095238,76.9230769230769,13.1752305665349
'''5.9.14-arch1-1''',5000,5000,5000,1428.57142857143,5000,3333.33333333333,277.777777777778,10000,10000,5000,10000,10000,5000,1428.57142857143,5000,1428.57142857143,59.1715976331361,0,5000,0,10000,416.666666666667,5000,5000,714.285714285714,66.6666666666667,10000,0,3333.33333333333,588.235294117647,66.6666666666667,500,200,45.8715596330275,370.37037037037,125,12.9533678756477
'''5.9.14-zen1-1-zen''',5000,10000,10000,3333.33333333333,5000,5000,344.827586206897,5000,5000,5000,10000,10000,5000,3333.33333333333,5000,909.090909090909,59.1715976331361,10000,5000,0,10000,416.666666666667,5000,5000,833.333333333333,100,10000,10000,909.090909090909,181.818181818182,22.7272727272727,769.230769230769,270.27027027027,54.6448087431694,303.030303030303,131.578947368421,17.6991150442478
'''5.9.1-rt20-1-rt''',5000,10000,10000,3333.33333333333,5000,0,0,5000,5000,3333.33333333333,5000,666.666666666667,59.1715976331361,0,10000,1666.66666666667,59.5238095238095,0,10000,0,10000,384.615384615385,10000,666.666666666667,181.818181818182,31.25,10000,10000,625,156.25,20.8333333333333,238.095238095238,95.2380952380952,19.9203187250996,105.263157894737,58.4795321637427,20.0400801603206
