kernel_type,Dhrystone_2_using_register_variables-1_parallel_copy,Double-Precision_Whetstone-1_parallel_copy,Execl-Throughput-1_parallel_copy,File_Copy_1024_bufsize_2000_maxblocks-1_parallel_copy,File_Copy_256_bufsize_500_maxblocks-1_parallel_copy,File_Copy_4096_bufsize_8000_maxblocks-1_parallel_copy,Pipe_Throughput-1_parallel_copy,Pipe-based_Context_Switching-1_parallel_copy,Process_Creation-1_parallel_copy,Shell_Scripts_(1_concurrent)-1_parallel_copy,Shell_Scripts_(8_concurrent)-1_parallel_copy,System_Call_Overhead-1_parallel_copy,System_Benchmarks_Index_Score-1_parallel_copy,Dhrystone_2_using_register_variables-4_parallel_copies,Double-Precision_Whetstone-4_parallel_copies,Execl-Throughput-4_parallel_copies,File_Copy_1024_bufsize_2000_maxblocks-4_parallel_copies,File_Copy_256_bufsize_500_maxblocks-4_parallel_copies,File_Copy_4096_bufsize_8000_maxblocks-4_parallel_copies,Pipe_Throughput-4_parallel_copies,Pipe-based_Context_Switching-4_parallel_copies,Process_Creation-4_parallel_copies,Shell_Scripts_(1_concurrent)-4_parallel_copies,Shell_Scripts_(8_concurrent)-4_parallel_copies,System_Call_Overhead-4_parallel_copies,System_Benchmarks_Index_Score-4_parallel_copies,X-burn-desired_cpu,X-burn-deadlines_met,X-compile-desired_cpu,X-compile-deadlines_met,gaming-burn-desired_cpu,gaming-compile-desired_cpu,audio-X-maximum_latency-inverse,audio-write-average_latency-inverse,audio-write-latency_deviation-inverse,audio-write-maximum_latency-inverse,audio-read-maximum_latency-inverse,audio-compile-latency_deviation-inverse,audio-compile-maximum_latency-inverse,video-none-average_latency-inverse,video-none-latency_deviation-inverse,video-none-maximum_latency-inverse,video-X-average_latency-inverse,video-X-latency_deviation-inverse,video-X-maximum_latency-inverse,video-burn-maximum_latency-inverse,video-write-average_latency-inverse,video-write-latency_deviation-inverse,video-write-maximum_latency-inverse,video-read-latency_deviation-inverse,video-read-maximum_latency-inverse,video-compile-average_latency-inverse,video-compile-latency_deviation-inverse,video-compile-maximum_latency-inverse,X-none-maximum_latency-inverse,X-burn-average_latency-inverse,X-burn-latency_deviation-inverse,X-burn-maximum_latency-inverse,X-write-maximum_latency-inverse,X-read-maximum_latency-inverse,X-compile-average_latency-inverse,X-compile-latency_deviation-inverse,X-compile-maximum_latency-inverse,gaming-burn-average_latency-inverse,gaming-burn-latency_deviation,gaming-burn-maximum_latency-inverse,gaming-compile-average_latency-inverse,gaming-compile-latency_deviation-inverse,gaming-compile-maximum_latency-inverse
'''5.10.0-pf2-2020-12-25''',38439265.2,6144.6,4130.9,552422.8,149720,1736587.7,759060.5,170422.5,9933.3,3935.6,1204.2,403914.3,1026.8,108850328.6,21242.2,10488.8,936228.9,246656.4,3017131,1875786,484947.1,26842,9014,1309.9,959796.4,2269.1,87.1,83,77.4,72.3,96.6,95.7,0.2,0.1,0.1,0.3,0.2,0.1,1.1,0.2,0.2,0.2,0.1,0.1,0.2,0.8,0.1,0.1,0.3,0.6,16.7,0,0.1,2.8,0.2,1.1,4.5,32,0.2,0.2,1.8,5.9,30,3.6,8.7,32.1,4.5,11.3,53.1
'''5.9.12-97-tkg-cfs''',38163167.5,6112.6,3944.1,534137.5,144639.8,1736970.5,734035.2,160998.1,9531.5,3871,1175.3,398773.4,1000.4,109324648.8,21199.6,9951.1,859998.6,226337.4,2775198.3,1800712.6,441856.4,24729.2,8790.3,1265.4,945366.4,2159.2,80.1,76.4,71.8,65.6,98.4,93.1,0.2,0.1,0.1,0.3,0.2,0.4,8,0.1,0.1,0.2,0.1,0.1,0.2,0,0.1,0.1,0.3,0,0.2,0.3,2.3,39.7,0.1,1.2,4.5,22,0.1,0.1,3,9.3,54,1.6,5.7,26.5,7.4,14.9,57.1
'''5.9.12-97-tkg-MuQSS''',39084708.6,6194.7,3929.4,527927.8,142424,1709647.5,746539.1,145277.7,9344,4013.5,1199.5,403187.5,996.5,109210648.5,21236.7,10005.7,809828.1,211995,2682214.8,1808396.6,300707.7,26412.5,8916,1282.2,948232.3,2081.9,100,100,99,98,100,98.1,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.8,0,1,0,0,0,0,0,0,0,0,0,0.1,0.7,10,0,0,0,1.9,4.5,20.4
'''5.9.13-1-clear''',38182208.5,6116.1,4141.5,544752.2,147252.2,1733278.7,750406.2,163588.9,10471.1,3950.3,1212.9,399389.1,1023.3,109279098.2,21201.1,10570.9,915647.3,240151.1,2894068.9,1848269.5,430043.4,27739.8,9059.3,1322.7,949898.4,2235.6,80.3,76,73.7,70.3,97.8,95.6,0.2,0.1,0.1,0.8,0.1,0,1.1,0.1,0.1,0.7,0.1,0.1,0.2,0,0.1,0.1,0.6,0.1,0.2,0,0.1,1.4,0.1,1.3,4.9,29,0.1,0.1,1.4,5.3,31,2.2,6.5,32.2,4.6,12.3,92.3
'''5.9.13-98-tkg-bmq''',39090750.6,6189.4,3939.2,542430.5,146670,1737406.1,746958.6,148549,9572.2,3900.8,1197.7,404823.4,1004.4,108411348.2,21204.6,9997.5,854349.3,218905.4,2747458.3,1807189.6,371976.3,25230.4,8842.5,1274.2,950305,2126.4,72.4,65.8,72.3,63.4,80.2,95.7,0.1,0.1,0.1,0.2,0.2,0,0,0.1,0.1,0.2,0.1,0.1,0.3,0,0.1,0.1,0.3,0.1,0.2,0,0,0,0.1,2.3,6.3,27,0.1,0.1,2.7,6.9,26,24.6,24.9,37.3,4.5,13.2,42.3
'''5.9.13-98-tkg-pds''',39434873.5,6186.6,3946.2,539802.9,145670.5,1725871,744058,153289.8,9827.3,3903.4,1177.1,403534.8,1006.6,109224025.8,21180.6,9839.6,848927.5,218010.9,2751587.2,1800884.1,227427.9,26589.3,8841.8,1262.8,947315.8,2044,69.8,61.6,40.8,34.8,80.5,91.3,0.2,0.1,0.1,0.3,0.1,0,0,0.1,0.1,0.2,0.1,0.1,0.2,0,0.1,0.1,0.5,0.1,0.3,0,0.4,16.7,0.1,2.7,7.1,26,0.1,0.1,9.4,24.6,106,24.3,24.5,26.4,9.5,16.2,35.4
'''5.9.13-lqx1-1-lqx''',38992985.5,6190.3,4274.3,586470.2,158948,1889678.4,787109.8,195983.9,11287.9,4168.6,1253,434063.8,1091.5,109318568.8,21210.6,10804.5,971968.5,256305.7,3121681.5,1954546.3,313244,31444.5,9400,1364,1025679.9,2279.2,96.5,94.8,88.5,87.1,93.8,91.1,0,0,0,0,0,0.1,1.5,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0.2,8,0,0.5,2.9,20,0,0,0.8,5.2,52,6.6,12.7,26.4,9.7,22.3,109.7
'''5.9.13-xanmod2-2''',38650579.8,6153.8,4068,542716.5,147419.4,1767123.7,733915.8,189520,9570.2,3891.6,1201.5,406392.2,1027.1,109266230.2,21231.9,10355,920879.4,246028.7,2945674.2,1809055.7,527005.3,27125.6,8932.1,1301.9,960837.2,2267.3,79,74.4,81.6,78,96.6,95.2,0.1,0,0.1,0.1,0.2,0.1,1.5,0.1,0.1,0.1,0.1,0.1,0.2,0,0,0.1,0.1,0.1,0.1,0,0.1,2.4,0.2,1.2,4.6,27,0.2,0.1,1.4,5.6,33,3.5,8.6,36.2,5.1,12.2,89.1
'''5.9.14-1-ck''',38688331,6194.4,3969.1,541291,146803.5,1618195.9,745669.5,169173.4,9545.3,3956,1186.8,402030.7,1008.5,107383268,21241.2,9984.2,879290.5,233506.5,2760359.5,1805306.6,250378,26734.9,8905.1,1290.3,947393.3,2085.4,94.4,93.2,98.7,98.3,97.4,95.9,0,0.1,0.1,0.1,0.1,0.2,3.8,0,0,0.3,0,0,0,0,0.1,1.2,16.7,1.4,16.7,0,0.7,19.8,0,0.3,1.6,14,0.1,0,0.1,1.6,22,2.6,5.4,16.9,4.2,13,75.9
'''5.9.14-arch1-1''',38482169.9,6165,3876.3,529546.8,143025.9,1559425.1,734880.4,158854,8690.2,3856.8,1160.5,399512.6,980,107614668,21238.4,9887.3,882424.4,232266.5,2711627.9,1777574,431802.1,24314.6,8576.2,1252.2,944187.8,2144.6,97.4,94.5,92.6,90.9,98.1,97.4,0.2,0.2,0.2,0.7,0.2,0.3,3.6,0.1,0.1,0.2,0.1,0.1,0.2,0.7,0.2,0.7,16.9,0,0.2,0,0.1,2.4,0.2,0.2,1.4,15,0.1,0,0.3,1.7,15,2,5,21.8,2.7,8,77.2
'''5.9.14-zen1-1-zen''',38187689.6,6182,3864.4,527803,143531.5,1626508.4,736975.2,163319.3,9012,3809.4,1154.1,399241.4,986.8,108740529.3,21175.2,9726.6,841642.5,217623.4,2779013,1799030.3,449265.7,24573.5,8608.6,1240.7,947662.6,2138.2,96.8,94.8,90.8,87.5,98.7,96.8,0.2,0.1,0.1,0.3,0.2,0.2,2.9,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.2,1.1,16.9,0.1,0.2,0,0.1,2.4,0.2,0.2,1.2,10,0.1,0.1,1.1,5.5,44,1.3,3.7,18.3,3.3,7.6,56.5
